total,full_pressure,zero_pressure,equipment_size,category
0.00516,0.00501,0.000148,12.5A,1-3mm
0.00285,0.00279,9.7e-05,12.5A,3-10mm
0.00269,0.0027,0.000135,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.0107,0.0105,0.00038,12.5A,Total
0.00516,0.00501,0.000148,25A,1-3mm
0.00285,0.00279,9.7e-05,25A,3-10mm
0.00269,0.0027,0.000135,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.0107,0.0105,0.00038,25A,Total
0.00516,0.00501,0.000148,50A,1-3mm
0.00285,0.00279,9.7e-05,50A,3-10mm
0.00166,0.00166,6.95e-05,50A,10-50mm
0.00102,0.00104,6.54e-05,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.0107,0.0105,0.00038,50A,Total
0.00516,0.00501,0.000148,100A,1-3mm
0.00285,0.00279,9.7e-05,100A,3-10mm
0.00166,0.00166,6.95e-05,100A,10-50mm
0.00102,0.00104,6.54e-05,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.0107,0.0105,0.00038,100A,Total
0.00516,0.00501,0.000148,125A,1-3mm
0.00285,0.00279,9.7e-05,125A,3-10mm
0.00166,0.00166,6.95e-05,125A,10-50mm
0.000494,0.000498,2.55e-05,125A,50-150mm
0.000529,0.000546,3.99e-05,125A,>150mm
0.0107,0.0105,0.00038,125A,Total
